Name [EN],Type,BP Name,Force Spawn Command (Full Patch)
Wax Sealed Ring,Ring,Ring_WaxSealedRing_C,summon /Game/World_Jungle/Items/Trinkets/Rings/WaxSealedRing/Ring_WaxSealedRing.Ring_WaxSealedRing_C
Wind Hollow Circlet,Ring,Ring_WindHollowCirclet_C,summon /Game/World_Jungle/Items/Trinkets/Rings/WindHollowCirclet/Ring_WindHollowCirclet.Ring_WindHollowCirclet_C
Zohee's Ring,Ring,Ring_ZoheesRing_C,summon /Game/World_Jungle/Items/Trinkets/Rings/ZoheesRing/Ring_ZoheesRing.Ring_ZoheesRing_C
Bisected Ring,Ring,Ring_BisectedRing_C,summon /Game/World_Labyrinth/Items/Trinkets/Rings/BisectedRing/Ring_BisectedRing.Ring_BisectedRing_C
Dense Silicon Ring,Ring,Ring_DenseSiliconRing_C,summon /Game/World_Labyrinth/Items/Trinkets/Rings/DenseSiliconRing/Ring_DenseSiliconRing.Ring_DenseSiliconRing_C
Encrypted Ring,Ring,Ring_EncryptedLoop_C,summon /Game/World_Labyrinth/Items/Trinkets/Rings/EncryptedLoop/Ring_EncryptedLoop.Ring_EncryptedLoop_C
Shard Banded Ring,Ring,Ring_ShardBandedRing_C,summon /Game/World_Labyrinth/Items/Trinkets/Rings/ShardBandedRing/Ring_ShardBandedRing.Ring_ShardBandedRing_C
Blackout Ring,Ring,Ring_BlackoutRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/BlackoutRing/Ring_BlackoutRing.Ring_BlackoutRing_C
Blasting Cap Ring,Ring,Ring_BlastingCapRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/BlastingCapRing/Ring_BlastingCapRing.Ring_BlastingCapRing_C
Burden Of The Mariner,Ring,Ring_BurdenOfTheMariner_C,summon /Game/World_Nerud/Items/Trinkets/Rings/BurdenOfTheMariner/Ring_BurdenOfTheMariner.Ring_BurdenOfTheMariner_C
Burden Of The Stargazer,Ring,Ring_BurdenOfTheStargazer_C,summon /Game/World_Nerud/Items/Trinkets/Rings/BurdenOfTheStargazer/Ring_BurdenOfTheStargazer.Ring_BurdenOfTheStargazer_C
Conservation Seal,Ring,Ring_ConservationSeal_C,summon /Game/World_Nerud/Items/Trinkets/Rings/ConservationSeal/Ring_ConservationSeal.Ring_ConservationSeal_C
Constant Variable Ring,Ring,Ring_ConstantVariableRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/ConstantVariableRing/Ring_ConstantVariableRing.Ring_ConstantVariableRing_C
Deep Pocket Ring,Ring,Ring_DeepPocketRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/DeepPocketRing/Ring_DeepPocketRing.Ring_DeepPocketRing_C
Defensive Action Loop,Ring,Ring_DefensiveActionLoop_C,summon /Game/World_Nerud/Items/Trinkets/Rings/DefensiveActionLoop/Ring_DefensiveActionLoop.Ring_DefensiveActionLoop_C
Embrace of Sha'Hala,Ring,Ring_DowngradedRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/DowngradedRing/Ring_DowngradedRing.Ring_DowngradedRing_C
Excess Coil,Ring,Ring_ExcessCoil_C,summon /Game/World_Nerud/Items/Trinkets/Rings/ExcessCoil/Ring_ExcessCoil.Ring_ExcessCoil_C
Feedback Loop,Ring,Ring_FeedbackLoop_C,summon /Game/World_Nerud/Items/Trinkets/Rings/FeedbackLoop/Ring_FeedbackLoop.Ring_FeedbackLoop_C
Focused Jewel,Ring,Ring_FocusedJewel_C,summon /Game/World_Nerud/Items/Trinkets/Rings/FocusedJewel/Ring_FocusedJewel.Ring_FocusedJewel_C
Galvanized Resupply Band,Ring,Ring_GalvanizedResupplyBand_C,summon /Game/World_Nerud/Items/Trinkets/Rings/GalvanizedResupplyBand/Ring_GalvanizedResupplyBand.Ring_GalvanizedResupplyBand_C
Generating Band,Ring,Ring_GeneratingBand_C,summon /Game/World_Nerud/Items/Trinkets/Rings/GeneratingBand/Ring_GeneratingBand.Ring_GeneratingBand_C
Hardcore Metal Band,Ring,Ring_HardcoreMetalBand_C,summon /Game/World_Nerud/Items/Trinkets/Rings/HardcoreMetalBand/Ring_HardcoreMetalBand.Ring_HardcoreMetalBand_C
Low Yield Recovery Ring,Ring,Ring_LowYieldRecoveryRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/LowYieldRecoveryRing/Ring_LowYieldRecoveryRing.Ring_LowYieldRecoveryRing_C
Metal Driver,Ring,Ring_MetalDriver_C,summon /Game/World_Nerud/Items/Trinkets/Rings/MetalDriver/Ring_MetalDriver.Ring_MetalDriver_C
Meteorite Shard Ring,Ring,Ring_MeteoriteShardRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/MeteoriteShardRing/Ring_MeteoriteShardRing.Ring_MeteoriteShardRing_C
Microcompressor,Ring,Ring_Microcompressor_C,summon /Game/World_Nerud/Items/Trinkets/Rings/Microcompressor/Ring_Microcompressor.Ring_Microcompressor_C
Momentum Driver,Ring,Ring_MomentumDriver_C,summon /Game/World_Nerud/Items/Trinkets/Rings/MomentumDriver/Ring_MomentumDriver.Ring_MomentumDriver_C
Point Focus Ring,Ring,Ring_PointFocusRing_C,summon /Game/World_Nerud/Items/Trinkets/Rings/PointFocusRing/Ring_PointFocusRing.Ring_PointFocusRing_C
Power Saver,Ring,Ring_PowerSaver_C,summon /Game/World_Nerud/Items/Trinkets/Rings/PowerSaver/Ring_PowerSaver.Ring_PowerSaver_C
Propulsion Loop,Ring,Ring_PropulsionLoop_C,summon /Game/World_Nerud/Items/Trinkets/Rings/PropulsionLoop/Ring_PropulsionLoop.Ring_PropulsionLoop_C
Rerouting Cable,Ring,Ring_ReroutingCable_C,summon /Game/World_Nerud/Items/Trinkets/Rings/ReroutingCable/Ring_ReroutingCable.Ring_ReroutingCable_C
Reserve Boosting Gem,Ring,Ring_ReserveBoostingGem_C,summon /Game/World_Nerud/Items/Trinkets/Rings/ReserveBoostingGem/Ring_ReserveBoostingGem.Ring_ReserveBoostingGem_C
Ring Of Crisis,Ring,Ring_RingOfCrisis_C,summon /Game/World_Nerud/Items/Trinkets/Rings/RingOfCrisis/Ring_RingOfCrisis.Ring_RingOfCrisis_C
Ring Of Deflection,Ring,Ring_RingOfDeflection_C,summon /Game/World_Nerud/Items/Trinkets/Rings/RingOfDeflection/Ring_RingOfDeflection.Ring_RingOfDeflection_C
Ring Of Restocking,Ring,Ring_RingOfRestocking_C,summon /Game/World_Nerud/Items/Trinkets/Rings/RingOfRestocking/Ring_RingOfRestocking.Ring_RingOfRestocking_C
Stone Of Continuance,Ring,Ring_StoneOfContinuance_C,summon /Game/World_Nerud/Items/Trinkets/Rings/StoneOfContinuance/Ring_StoneOfContinuance.Ring_StoneOfContinuance_C
Stone Of Expanse,Ring,Ring_StoneOfExpanse_C,summon /Game/World_Nerud/Items/Trinkets/Rings/StoneOfExpanse/Ring_StoneOfExpanse.Ring_StoneOfExpanse_C
Subterfuge Link,Ring,Ring_SubterfugeLink_C,summon /Game/World_Nerud/Items/Trinkets/Rings/SubterfugeLink/Ring_SubterfugeLink.Ring_SubterfugeLink_C
Suppression Ward,Ring,Ring_SuppressionWard_C,summon /Game/World_Nerud/Items/Trinkets/Rings/SuppressionWard/Ring_SuppressionWard.Ring_SuppressionWard_C
Targeting Jewel,Ring,Ring_TargetingJewel_C,summon /Game/World_Nerud/Items/Trinkets/Rings/TargetingJewel/Ring_TargetingJewel.Ring_TargetingJewel_C
Tightly Wound Coil,Ring,Ring_TightlyWoundCoil_C,summon /Game/World_Nerud/Items/Trinkets/Rings/TightlyWoundCoil/Ring_TightlyWoundCoil.Ring_TightlyWoundCoil_C
Vacuum Seal,Ring,Ring_VacuumSeal_C,summon /Game/World_Nerud/Items/Trinkets/Rings/VacuumSeal/Ring_VacuumSeal.Ring_VacuumSeal_C
Anastasija's Inspiration,Ring,Ring_AnastasijasInspiration_C,summon /Game/World_Root/Items/Trinkets/Rings/AnastasijasInspiration/Ring_AnastasijasInspiration.Ring_AnastasijasInspiration_C
Burden Of The Audacious,Ring,Ring_BurdenOfTheAudacious_C,summon /Game/World_Root/Items/Trinkets/Rings/BurdenOfTheAudacious/Ring_BurdenOfTheAudacious.Ring_BurdenOfTheAudacious_C
Burden Of The Destroyer,Ring,Ring_BurdenOfTheDestroyer_C,summon /Game/World_Root/Items/Trinkets/Rings/BurdenOfTheDestroyer/Ring_BurdenOfTheDestroyer.Ring_BurdenOfTheDestroyer_C
Dead King's Memento,Ring,Ring_DeadKingsMemento_C,summon /Game/World_Root/Items/Trinkets/Rings/DeadKingsMemento/Ring_DeadKingsMemento.Ring_DeadKingsMemento_C
Dying Ember,Ring,Ring_DyingEmber_C,summon /Game/World_Root/Items/Trinkets/Rings/DyingEmber/Ring_DyingEmber.Ring_DyingEmber_C
Flyweight's Sting,Ring,Ring_FlyweightsSting_C,summon /Game/World_Root/Items/Trinkets/Rings/FlyweightsSting/Ring_FlyweightsSting.Ring_FlyweightsSting_C
Haymaker's Ring,Ring,Ring_HaymakersRing_C,summon /Game/World_Root/Items/Trinkets/Rings/HaymakersRing/Ring_HaymakersRing.Ring_HaymakersRing_C
Kinetic Cycle Stone,Ring,Ring_KineticCycleStone_C,summon /Game/World_Root/Items/Trinkets/Rings/KineticCycleStone/Ring_KineticCycleStone.Ring_KineticCycleStone_C
Mechanic's Cog,Ring,Ring_MechanicsCog_C,summon /Game/World_Root/Items/Trinkets/Rings/MechanicsCog/Ring_MechanicsCog.Ring_MechanicsCog_C
Probability Cord,Ring,Ring_ProbabilityCord_C,summon /Game/World_Root/Items/Trinkets/Rings/ProbabilityCord/Ring_ProbabilityCord.Ring_ProbabilityCord_C
Reaping Stone,Ring,Ring_ReapingStone_C,summon /Game/World_Root/Items/Trinkets/Rings/ReapingStone/Ring_ReapingStone.Ring_ReapingStone_C
Ring Of Flawed Beauty,Ring,Ring_RingOfFlawedBeauty_C,summon /Game/World_Root/Items/Trinkets/Rings/RingOfFlawedBeauty/Ring_RingOfFlawedBeauty.Ring_RingOfFlawedBeauty_C
Zania's Malice,Ring,Ring_ZaniasMalice_C,summon /Game/World_Root/Items/Trinkets/Rings/ZaniasMalice/Ring_ZaniasMalice.Ring_ZaniasMalice_C
A'taerii Booster,Ring,Ring_AtaeriiBooster_C,summon /Game/World_DLC1/Items/Trinkets/Rings/AtaeriiBooster/Ring_AtaeriiBooster.Ring_AtaeriiBooster_C
Atonement Fold,Ring,Ring_AtonementFold_C,summon /Game/World_DLC1/Items/Trinkets/Rings/AtonementFold/Ring_AtonementFold.Ring_AtonementFold_C
Band Of The Fanatic,Ring,Ring_BandOfTheFanatic_C,summon /Game/World_DLC1/Items/Trinkets/Rings/BandOfTheFanatic/Ring_BandOfTheFanatic.Ring_BandOfTheFanatic_C
Bitter Memento,Ring,Ring_BitterMemento_C,summon /Game/World_DLC1/Items/Trinkets/Rings/BitterMemento/Ring_BitterMemento.Ring_BitterMemento_C
Brawler's Pride,Ring,Ring_BrawlersPride_C,summon /Game/World_DLC1/Items/Trinkets/Rings/BrawlersPride/Ring_BrawlersPride.Ring_BrawlersPride_C
Bridge Wardens Crest,Ring,Ring_BridgeWardensCrest_C,summon /Game/World_DLC1/Items/Trinkets/Rings/BridgeWardensCrest/Ring_BridgeWardensCrest.Ring_BridgeWardensCrest_C
Burden of the Departed,Ring,Ring_BurdenOfTheDeparted_C,summon /Game/World_DLC1/Items/Trinkets/Rings/BurdenOfTheDeparted/Ring_BurdenOfTheDeparted.Ring_BurdenOfTheDeparted_C
Burden Of The Sciolist,Ring,Ring_BurdenOfTheSciolist_C,summon /Game/World_DLC1/Items/Trinkets/Rings/BurdenOfTheSciolist/Ring_BurdenOfTheSciolist.Ring_BurdenOfTheSciolist_C
Crimson Dreamstone,Ring,Ring_CrimsonDreamstone_C,summon /Game/World_DLC1/Items/Trinkets/Rings/CrimsonDreamstone/Ring_CrimsonDreamstone.Ring_CrimsonDreamstone_C
Digested Hog Lure,Ring,Ring_DigestedHogLure_C,summon /Game/World_DLC1/Items/Trinkets/Rings/DigestedHogLure/Ring_DigestedHogLure.Ring_DigestedHogLure_C
Dried Clay Ring,Ring,Ring_DriedClayRing_C,summon /Game/World_DLC1/Items/Trinkets/Rings/DriedClayRing/Ring_DriedClayRing.Ring_DriedClayRing_C
Elevated Ring,Ring,Ring_ElevatedRing_C,summon /Game/World_DLC1/Items/Trinkets/Rings/ElevatedRing/Ring_ElevatedRing.Ring_ElevatedRing_C
Jewel Of The Beholden,Ring,Ring_JewelOfTheBeholden_C,summon /Game/World_DLC1/Items/Trinkets/Rings/JewelOfTheBeholden/Ring_JewelOfTheBeholden.Ring_JewelOfTheBeholden_C
Lighthouse Keeper's Ring,Ring,Ring_LighthouseKeepersRing_C,summon /Game/World_DLC1/Items/Trinkets/Rings/LighthouseKeepersRing/Ring_LighthouseKeepersRing.Ring_LighthouseKeepersRing_C
Offering Stone,Ring,Ring_OfferingStone_C,summon /Game/World_DLC1/Items/Trinkets/Rings/Offering_Stone/Ring_OfferingStone.Ring_OfferingStone_C
Painless Obsidian,Ring,Ring_PainlessObsidian_C,summon /Game/World_DLC1/Items/Trinkets/Rings/PainlessObsidian/Ring_PainlessObsidian.Ring_PainlessObsidian_C
Power Complex,Ring,Ring_PowerComplex_C,summon /Game/World_DLC1/Items/Trinkets/Rings/PowerComplex/Ring_PowerComplex.Ring_PowerComplex_C
Red Ring Of Death,Ring,Ring_RedRingOfDeath_C,summon /Game/World_DLC1/Items/Trinkets/Rings/RedRingOfDeath/Ring_RedRingOfDeath.Ring_RedRingOfDeath_C
Ring Of Infinite Damage,Ring,Ring_RingOfInfiniteDamage_C,summon /Game/World_DLC1/Items/Trinkets/Rings/RingOfInfiniteDamage/Ring_RingOfInfiniteDamage.Ring_RingOfInfiniteDamage_C
Ring Of The Castaway,Ring,Ring_RingOfTheCastaway_C,summon /Game/World_DLC1/Items/Trinkets/Rings/RingOfTheCastaway/Ring_RingOfTheCastaway.Ring_RingOfTheCastaway_C
Ring Of The Vain,Ring,Ring_RingOfTheVain_C,summon /Game/World_DLC1/Items/Trinkets/Rings/RingOfTheVain/Ring_RingOfTheVain.Ring_RingOfTheVain_C
Shadow Of Misery,Ring,Ring_ShadowOfMisery_C,summon /Game/World_DLC1/Items/Trinkets/Rings/ShadowOfMisery/Ring_ShadowOfMisery.Ring_ShadowOfMisery_C
Shaed Stone,Ring,Ring_ShaedStone_C,summon /Game/World_DLC1/Items/Trinkets/Rings/ShaedStone/Ring_ShaedStone.Ring_ShaedStone_C
Soul Shard,Ring,Ring_SoulShard_C,summon /Game/World_DLC1/Items/Trinkets/Rings/SoulShard/Ring_SoulShard.Ring_SoulShard_C
Wood Ring,Ring,Ring_WoodRing_C,summon /Game/World_DLC1/Items/Trinkets/Rings/WoodRing/Ring_WoodRing.Ring_WoodRing_C
White Glass Bead,Ring,Ring_WhiteGlassBead_C,summon /Game/World_DLC1/Items/Trinkets/Rings/WhiteGlassBead/Ring_WhiteGlassBead.Ring_WhiteGlassBead_C
Black Spinel,Ring,Ring_BlackSpinel_C,summon /Game/World_DLC2/Items/Trinkets/Rings/BlackSpinel/Ring_BlackSpinel.Ring_BlackSpinel_C
Bloodless King's Vow,Ring,Ring_BloodlessKingsVow_C,summon /Game/World_DLC2/Items/Trinkets/Rings/BloodlessKingsVow/Ring_BloodlessKingsVow.Ring_BloodlessKingsVow_C
Burden Of The Mason,Ring,Ring_BurdenOfTheMason_C,summon /Game/World_DLC2/Items/Trinkets/Rings/BurdenOfTheMason/Ring_BurdenOfTheMason.Ring_BurdenOfTheMason_C
Burden Of The Mesmer,Ring,Ring_BurdenOfTheMesmer_C,summon /Game/World_DLC2/Items/Trinkets/Rings/BurdenOfTheMesmer/Ring_BurdenOfTheMesmer.Ring_BurdenOfTheMesmer_C
Closed Loop,Ring,Ring_ClosedLoop_C,summon /Game/World_DLC2/Items/Trinkets/Rings/ClosedLoop/Ring_ClosedLoop.Ring_ClosedLoop_C
Conjurer's Circle,Ring,Ring_ConjurersCircle_C,summon /Game/World_DLC2/Items/Trinkets/Rings/ConjurersCircle/Ring_ConjurersCircle.Ring_ConjurersCircle_C
Dark Sea Armada Crest,Ring,Ring_DarkSeaArmadaCrest_C,summon /Game/World_DLC2/Items/Trinkets/Rings/DarkSeaArmadaCrest/Ring_DarkSeaArmadaCrest.Ring_DarkSeaArmadaCrest_C
Feathery Binding,Ring,Ring_FeatheryBinding_C,summon /Game/World_DLC2/Items/Trinkets/Rings/FeatheryBinding/Ring_FeatheryBinding.Ring_FeatheryBinding_C
Floodlit Diamond,Ring,Ring_FloodlitDiamond_C,summon /Game/World_DLC2/Items/Trinkets/Rings/FloodlitDiamond/Ring_FloodlitDiamond.Ring_FloodlitDiamond_C
Gul Signet,Ring,Ring_GulSignet_C,summon /Game/World_DLC2/Items/Trinkets/Rings/GulSignet/Ring_GulSignet.Ring_GulSignet_C
Kolket Eyelet,Ring,Ring_KolketEyelet_C,summon /Game/World_DLC2/Items/Trinkets/Rings/KolketEyelet/Ring_KolketEyelet.Ring_KolketEyelet_C
Leaking Gemstone,Ring,Ring_LeakingGemstone_C,summon /Game/World_DLC2/Items/Trinkets/Rings/LeakingGemstone/Ring_LeakingGemstone.Ring_LeakingGemstone_C
Mark Of The Destroyer,Ring,Ring_MarkOfTheDestroyer_C,summon /Game/World_DLC2/Items/Trinkets/Rings/MarkOfTheDestroyer/Ring_MarkOfTheDestroyer.Ring_MarkOfTheDestroyer_C
Matriarch's Ring,Ring,Ring_MatriarchsRing_C,summon /Game/World_DLC2/Items/Trinkets/Rings/MatriarchsRing/Ring_MatriarchsRing.Ring_MatriarchsRing_C
Pan War Band,Ring,Ring_PanWarBand_C,summon /Game/World_DLC2/Items/Trinkets/Rings/PanWarBand/Ring_PanWarBand.Ring_PanWarBand_C
Rally Band,Ring,Ring_RallyBand_C,summon /Game/World_DLC2/Items/Trinkets/Rings/RallyBand/Ring_RallyBand.Ring_RallyBand_C
Ravager's Bargain,Ring,Ring_RavagersBargain_C,summon /Game/World_DLC2/Items/Trinkets/Rings/RavagersBargain/Ring_RavagersBargain.Ring_RavagersBargain_C
Ring Of Ordnance,Ring,Ring_RingOfOrdnance_C,summon /Game/World_DLC2/Items/Trinkets/Rings/RingOfOrdnance/Ring_RingOfOrdnance.Ring_RingOfOrdnance_C
Ring Of Spirits,Ring,Ring_RingOfSpirits_C,summon /Game/World_DLC2/Items/Trinkets/Rings/RingOfSpirits/Ring_RingOfSpirits.Ring_RingOfSpirits_C
Sealed Resin Loop,Ring,Ring_SealedResinLoop_C,summon /Game/World_DLC2/Items/Trinkets/Rings/SealedResinLoop/Ring_SealedResinLoop.Ring_SealedResinLoop_C
Soul Feast,Ring,Ring_SoulFeast_C,summon /Game/World_DLC2/Items/Trinkets/Rings/SoulFeast/Ring_SoulFeast.Ring_SoulFeast_C
Tear Of Lydusa,Ring,Ring_TearOfLydusa_C,summon /Game/World_DLC2/Items/Trinkets/Rings/TearOfLydusa/Ring_TearOfLydusa.Ring_TearOfLydusa_C
Thalos Eyelet,Ring,Ring_ThalosEyelet_C,summon /Game/World_DLC2/Items/Trinkets/Rings/ThalosEyelet/Ring_ThalosEyelet.Ring_ThalosEyelet_C
Token Of Favor,Ring,Ring_TokenOfFavor_C,summon /Game/World_DLC2/Items/Trinkets/Rings/TokenOfFavor/Ring_TokenOfFavor.Ring_TokenOfFavor_C
Breach Accelerator,Ring,Ring_BreachAccelerator_C,summon /Game/World_DLC3/Items/Trinkets/Rings/BreachAccelerator/Ring_BreachAccelerator.Ring_BreachAccelerator_C
Burden Of The Excavator,Ring,Ring_BurdenOfTheExcavator_C,summon /Game/World_DLC3/Items/Trinkets/Rings/BurdenOfTheExcavator/Ring_BurdenOfTheExcavator.Ring_BurdenOfTheExcavator_C
Burden Of The Protector,Ring,Ring_BurdenOfTheProtector_C,summon /Game/World_DLC3/Items/Trinkets/Rings/BurdenOfTheProtector/Ring_BurdenOfTheProtector.Ring_BurdenOfTheProtector_C
Bypass Primer,Ring,Ring_BypassPrimer_C,summon /Game/World_DLC3/Items/Trinkets/Rings/BypassPrimer/Ring_BypassPrimer.Ring_BypassPrimer_C
Clear Halo,Ring,Ring_ClearHalo_C,summon /Game/World_DLC3/Items/Trinkets/Rings/ClearHalo/Ring_ClearHalo.Ring_ClearHalo_C
Combat Shield Generator,Ring,Ring_CombatShieldGenerator_C,summon /Game/World_DLC3/Items/Trinkets/Rings/CombatShieldGenerator/Ring_CombatShieldGenerator.Ring_CombatShieldGenerator_C
Custodian's Bastion,Ring,Ring_CustodiansBastion_C,summon /Game/World_DLC3/Items/Trinkets/Rings/CustodiansBastion/Ring_CustodiansBastion.Ring_CustodiansBastion_C
Demolition Coil,Ring,Ring_DemolitionCoil_C,summon /Game/World_DLC3/Items/Trinkets/Rings/DemolitionCoil/Ring_DemolitionCoil.Ring_DemolitionCoil_C
Detonating Cord,Ring,Ring_DetonatingCord_C,summon /Game/World_DLC3/Items/Trinkets/Rings/DetonatingCord/Ring_DetonatingCord.Ring_DetonatingCord_C
Disaster Converter,Ring,Ring_DisasterConverter_C,summon /Game/World_DLC3/Items/Trinkets/Rings/DisasterConverter/Ring_DisasterConverter.Ring_DisasterConverter_C
Empowering Loop,Ring,Ring_EmpoweringLoop_C,summon /Game/World_DLC3/Items/Trinkets/Rings/EmpoweringLoop/Ring_EmpoweringLoop.Ring_EmpoweringLoop_C
Feeding Tube,Ring,Ring_FeedingTube_C,summon /Game/World_DLC3/Items/Trinkets/Rings/FeedingTube/Ring_FeedingTube.Ring_FeedingTube_C
Force Multiplier,Ring,Ring_ForceMultiplier_C,summon /Game/World_DLC3/Items/Trinkets/Rings/ForceMultiplier/Ring_ForceMultiplier.Ring_ForceMultiplier_C
Impact Augment,Ring,Ring_ImpactAugment_C,summon /Game/World_DLC3/Items/Trinkets/Rings/ImpactAugment/Ring_ImpactAugment.Ring_ImpactAugment_C
Infinity Pocket,Ring,Ring_InfinityPocket_C,summon /Game/World_DLC3/Items/Trinkets/Rings/InfinityPocket/Ring_InfinityPocket.Ring_InfinityPocket_C
Mortal Coil,Ring,Ring_MortalCoil_C,summon /Game/World_DLC3/Items/Trinkets/Rings/MortalCoil/Ring_MortalCoil.Ring_MortalCoil_C
Nanofiber Strand,Ring,Ring_NanoFiberStrand_C,summon /Game/World_DLC3/Items/Trinkets/Rings/NanoFiberStrand/Ring_NanoFiberStrand.Ring_NanoFiberStrand_C
Nightmare Sigil,Ring,Ring_NightmareSigil_C,summon /Game/World_DLC3/Items/Trinkets/Rings/NightmareSigil/Ring_NightmareSigil.Ring_NightmareSigil_C
Ring Of Ashes,Ring,Ring_RingOfAshes_C,summon /Game/World_DLC3/Items/Trinkets/Rings/RingOfAshes/Ring_RingOfAshes.Ring_RingOfAshes_C
Ring Of Bones,Ring,Ring_RingOfBones_C,summon /Game/World_DLC3/Items/Trinkets/Rings/RingOfBones/Ring_RingOfBones.Ring_RingOfBones_C
Ring Of Phantom Pain,Ring,Ring_PhantomPain_C,summon /Game/World_DLC3/Items/Trinkets/Rings/RingOfPhantomPain/Ring_PhantomPain.Ring_PhantomPain_C
Security Half-Measure,Ring,Ring_SecurityHalfMeasure_C,summon /Game/World_DLC3/Items/Trinkets/Rings/SecurityHalfMeasure/Ring_SecurityHalfMeasure.Ring_SecurityHalfMeasure_C
Shield Alternator,Ring,Ring_ShieldAlternator_C,summon /Game/World_DLC3/Items/Trinkets/Rings/ShieldAlternator/Ring_ShieldAlternator.Ring_ShieldAlternator_C
Siphon Filter,Ring,Ring_SiphonFilter_C,summon /Game/World_DLC3/Items/Trinkets/Rings/SiphonFilter/Ring_SiphonFilter.Ring_SiphonFilter_C
Spirit Alternator,Ring,Ring_SpiritAlternator_C,summon /Game/World_DLC3/Items/Trinkets/Rings/SpiritAlternator/Ring_SpiritAlternator.Ring_SpiritAlternator_C
Stone Of Revelation,Ring,Ring_StoneOfRevelation_C,summon /Game/World_DLC3/Items/Trinkets/Rings/StoneOfRevelation/Ring_StoneOfRevelation.Ring_StoneOfRevelation_C
Strand Of Sinew,Ring,Ring_StrandOfSinew_C,summon /Game/World_DLC3/Items/Trinkets/Rings/StrandOfSinew/Ring_StrandOfSinew.Ring_StrandOfSinew_C
Symbol Of Royalty,Ring,Ring_SymbolOfRoyalty_C,summon /Game/World_DLC3/Items/Trinkets/Rings/SymbolOfRoyalty/Ring_SymbolOfRoyalty.Ring_SymbolOfRoyalty_C
Tolerance Band,Ring,Ring_ToleranceBand_C,summon /Game/World_DLC3/Items/Trinkets/Rings/ToleranceBand/Ring_ToleranceBand.Ring_ToleranceBand_C
Transient Cord,Ring,Ring_TransientCord_C,summon /Game/World_DLC3/Items/Trinkets/Rings/TransientCord/Ring_TransientCord.Ring_TransientCord_C
Wired Inhibitor,Ring,Ring_Wiredinhibitor_C,summon /Game/World_DLC3/Items/Trinkets/Rings/Wiredinhibitor/Ring_Wiredinhibitor.Ring_Wiredinhibitor_C
Bandit,Mutator,MetaGem_Bandit_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Bandit/MetaGem_Bandit.MetaGem_Bandit_C
Battery,Mutator,MetaGem_Battery_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Battery/MetaGem_Battery.MetaGem_Battery_C
Bulletweaver,Mutator,MetaGem_Bulletweaver_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Bulletweaver/MetaGem_Bulletweaver.MetaGem_Bulletweaver_C
Deadly Calm,Mutator,MetaGem_DeadlyCalm_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/DeadlyCalm/MetaGem_DeadlyCalm.MetaGem_DeadlyCalm_C
Extender,Mutator,MetaGem_Extender_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Extender/MetaGem_Extender.MetaGem_Extender_C
Failsafe,Mutator,MetaGem_Failsafe_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Failsafe/MetaGem_Failsafe.MetaGem_Failsafe_C
Feedback,Mutator,MetaGem_Feedback_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Feedback/MetaGem_Feedback.MetaGem_Feedback_C
Ghost Shell,Mutator,MetaGem_GhostShell_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/GhostShell/MetaGem_GhostShell.MetaGem_GhostShell_C
Harmonizer,Mutator,MetaGem_Harmonizer_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Harmonizer/MetaGem_Harmonizer.MetaGem_Harmonizer_C
Lithely,Mutator,MetaGem_Lithely_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Lithely/MetaGem_Lithely.MetaGem_Lithely_C
Momentum,Mutator,MetaGem_Momentum_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Momentum/MetaGem_Momentum.MetaGem_Momentum_C
Refunder,Mutator,MetaGem_Refunder_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Refunder/MetaGem_Refunder.MetaGem_Refunder_C
Slayer,Mutator,MetaGem_Slayer_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Slayer/MetaGem_Slayer.MetaGem_Slayer_C
Supercharger,Mutator,MetaGem_Supercharger_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Supercharger/MetaGem_Supercharger.MetaGem_Supercharger_C
Timewave,Mutator,MetaGem_Timewave_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Timewave/MetaGem_Timewave.MetaGem_Timewave_C
Transpose,Mutator,MetaGem_Transpose_C,summon /Game/World_Base/Items/Gems/Ranged/MetaGems/Transpose/MetaGem_Transpose.MetaGem_Transpose_C
